, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024
PLAIN_UNCOMPRESSED, 5.08, 5.32, 5.51, 5.21, 5.43, 5.34, 5.05, 4.76, 4.85, 5.47, 5.42, 
PLAIN_SNAPPY, 5.12, 5.17, 5.12, 5.18, 5.02, 5.42, 5.22, 5.22, 5.35, 5.22, 5.43, 
PLAIN_LZ4, 4.82, 5.23, 5.43, 5.29, 5.35, 5.53, 5.11, 5.59, 5.02, 5.72, 5.49, 
PLAIN_GZIP, 5.19, 5.63, 5.24, 5.48, 5.22, 5.17, 5.19, 5.26, 5.11, 5.47, 5.80, 
TS_2DIFF_UNCOMPRESSED, 5.13, 5.45, 5.27, 4.89, 5.27, 5.28, 5.15, 5.00, 5.15, 5.06, 5.52, 
TS_2DIFF_SNAPPY, 5.10, 5.09, 5.11, 5.61, 5.12, 5.44, 5.21, 5.25, 4.94, 5.15, 5.35, 
TS_2DIFF_LZ4, 4.84, 5.14, 5.35, 5.05, 5.43, 5.52, 5.91, 5.14, 5.49, 5.61, 5.29, 
TS_2DIFF_GZIP, 5.03, 5.21, 5.36, 5.69, 5.48, 5.05, 5.39, 5.16, 5.41, 5.17, 6.01, 
RLE_UNCOMPRESSED, 4.83, 5.40, 5.53, 5.21, 5.21, 5.80, 4.99, 5.09, 8.98, 5.43, 5.20, 
RLE_SNAPPY, 5.00, 5.33, 5.28, 5.08, 5.21, 5.19, 5.33, 5.33, 6.49, 5.24, 5.23, 
RLE_LZ4, 4.92, 5.46, 5.19, 4.94, 5.35, 5.21, 4.97, 4.90, 4.98, 5.39, 5.25, 
RLE_GZIP, 4.83, 5.35, 5.26, 5.19, 5.89, 5.76, 5.31, 4.91, 5.27, 5.15, 5.37, 
GORILLA_UNCOMPRESSED, 4.96, 5.21, 5.47, 4.95, 6.01, 6.64, 5.07, 4.98, 4.91, 5.27, 5.63, 
GORILLA_SNAPPY, 5.13, 5.51, 5.23, 5.29, 5.38, 5.23, 5.16, 5.25, 5.19, 5.26, 5.18, 
GORILLA_LZ4, 4.87, 5.57, 5.77, 5.15, 5.53, 5.41, 4.94, 5.26, 5.22, 5.22, 5.28, 
GORILLA_GZIP, 4.88, 5.47, 5.01, 5.23, 5.35, 5.20, 5.00, 4.82, 5.01, 5.56, 5.12, 
