, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024
PLAIN_UNCOMPRESSED, 342.37, 304.94, 302.84, 323.91, 300.65, 299.30, 325.31, 327.53, 327.89, 297.61, 298.33, 
PLAIN_SNAPPY, 340.65, 304.79, 299.43, 323.91, 303.30, 300.72, 311.21, 325.85, 324.47, 300.84, 300.93, 
PLAIN_LZ4, 351.06, 308.16, 304.59, 326.22, 306.23, 307.66, 323.79, 323.63, 324.10, 299.70, 300.67, 
PLAIN_GZIP, 341.10, 304.43, 301.77, 322.64, 303.22, 302.37, 324.90, 309.24, 320.87, 298.03, 299.66, 
TS_2DIFF_UNCOMPRESSED, 346.07, 304.65, 301.84, 323.48, 302.21, 303.10, 325.63, 324.88, 320.62, 297.52, 297.23, 
TS_2DIFF_SNAPPY, 339.64, 303.26, 299.45, 318.67, 300.95, 301.15, 323.27, 323.86, 322.04, 300.02, 298.65, 
TS_2DIFF_LZ4, 341.77, 301.40, 298.77, 321.18, 299.01, 300.48, 305.47, 321.43, 319.25, 298.37, 296.19, 
TS_2DIFF_GZIP, 341.11, 301.73, 298.03, 320.56, 299.17, 299.68, 320.55, 321.78, 320.46, 296.36, 297.86, 
RLE_UNCOMPRESSED, 340.99, 302.35, 298.52, 321.51, 301.39, 298.03, 321.76, 319.04, 218.92, 296.02, 297.23, 
RLE_SNAPPY, 339.10, 300.14, 299.01, 320.16, 300.26, 297.88, 326.67, 323.65, 286.53, 297.07, 303.14, 
RLE_LZ4, 350.02, 307.14, 305.14, 324.54, 303.93, 303.25, 324.46, 323.85, 323.56, 299.27, 302.74, 
RLE_GZIP, 341.40, 304.67, 299.46, 322.31, 281.86, 302.16, 324.29, 324.70, 321.85, 297.24, 299.51, 
GORILLA_UNCOMPRESSED, 345.55, 306.80, 304.02, 290.00, 254.25, 259.33, 327.59, 326.54, 327.50, 302.18, 303.86, 
GORILLA_SNAPPY, 344.98, 306.90, 303.16, 327.17, 302.03, 304.81, 326.99, 326.70, 327.03, 303.22, 302.29, 
GORILLA_LZ4, 339.99, 301.15, 298.21, 320.01, 299.04, 299.32, 323.76, 321.03, 323.14, 298.83, 299.73, 
GORILLA_GZIP, 340.57, 301.26, 301.53, 323.82, 301.61, 301.77, 324.39, 323.75, 324.00, 299.22, 288.84, 
